Experiment,,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block,Confidence,RT_Confidence
1,8,4,1,8,154,html-slider-response,154,694160,3158,0,0.1,question_agency,question_agency_line,-10,7,6,10,34,0.004016033,0.019277573,4,,
1,7,4,1,7,158,html-slider-response,158,706494,2130,3,0.1,question_agency,question_agency_line,-7,4,7,10,20,0.212463572,0.463736228,5,,
1,14,4,1,14,25,html-slider-response,25,171200,8933,62,0.2,question_agency,question_agency_line,42,8,11,14,39,0.11587923,0.109916608,1,,
1,12,4,1,12,68,html-slider-response,68,361938,3458,0,0.2,question_agency,question_agency_line,-20,4,6,40,18,0.000575173,-0.409672028,2,,
1,10,4,1,10,120,html-slider-response,120,564632,2421,0,0.2,question_agency,question_agency_line,-20,7,7,8,29,0.005292778,-0.119776534,3,,
1,11,4,1,11,136,html-slider-response,136,624818,2103,9,0.2,question_agency,question_agency_line,-11,6,5,24,12,-0.073207035,0.13952504,4,,
1,13,4,1,13,173,html-slider-response,173,764052,3216,56,0.2,question_agency,question_agency_line,36,7,6,18,16,0.027252791,0.339811893,5,,
1,16,4,1,16,22,html-slider-response,22,153255,9611,54,0.3,question_agency,question_agency_line,24,7,5,8,36,0.185236115,0.08882715,1,,
1,19,4,1,19,59,html-slider-response,59,324424,3206,72,0.3,question_agency,question_agency_line,42,8,5,32,36,0.079525495,0.269555862,2,,
1,17,4,1,17,105,html-slider-response,105,507550,2309,12,0.3,question_agency,question_agency_line,-18,6,4,16,16,0.032076821,0.230015949,3,,
1,15,4,1,15,133,html-slider-response,133,613708,3411,0,0.3,question_agency,question_agency_line,-30,7,6,28,25,0.082210964,-0.081510423,4,,
1,18,4,1,18,188,html-slider-response,188,821241,2614,8,0.3,question_agency,question_agency_line,-22,5,6,8,25,0.149401827,-0.263979147,5,,
1,21,4,1,21,34,html-slider-response,34,218250,6232,30,0.4,question_agency,question_agency_line,-10,7,8,28,22,-0.38421223,-0.179647673,1,,
1,22,4,1,22,56,html-slider-response,56,312210,3143,2,0.4,question_agency,question_agency_line,-38,5,7,0,80,0,-0.206508039,2,,
1,23,4,1,23,114,html-slider-response,114,542214,3112,1,0.4,question_agency,question_agency_line,-39,4,7,18,28,-0.042181597,-0.178219424,3,,
1,20,4,1,20,148,html-slider-response,148,670245,2953,83,0.4,question_agency,question_agency_line,43,10,8,11,4,-0.094310764,0.593889019,4,,
1,24,4,1,24,176,html-slider-response,176,775058,1998,0,0.4,question_agency,question_agency_line,-40,5,9,10,33,0.066897174,-0.205626537,5,,
1,29,4,1,29,31,html-slider-response,31,203007,8625,48,0.5,question_agency,question_agency_line,-2,11,8,26,33,-0.09838307,0.119433749,1,,
1,25,4,1,25,74,html-slider-response,74,386703,3282,14,0.5,question_agency,question_agency_line,-36,8,9,22,32,0.028928496,0.035713135,2,,
1,27,4,1,27,117,html-slider-response,117,553206,1983,17,0.5,question_agency,question_agency_line,-33,6,6,7,10,0.343153071,0.419225134,3,,
